did,fair_aggregate,fair_F,fair_A,fair_I,fair_R,status,upload_date,NumberOfInstances,NumberOfFeatures,MajorityClassPercentage,upload_date_ordinal
3414,0.4964680656938911,0.4964680656938911,0.4964680656938911,0.4964680656938911,0.4964680656938911,fallback,,1171.0,1026.0,,
3413,0.4859686568069133,0.4859686568069133,0.4859686568069133,0.4859686568069133,0.4859686568069133,fallback,,690.0,1026.0,,
3412,0.492708685491714,0.492708685491714,0.492708685491714,0.492708685491714,0.492708685491714,fallback,,969.0,1026.0,,
3411,0.42078458314971073,0.42078458314971073,0.42078458314971073,0.42078458314971073,0.42078458314971073,fallback,,25.0,1026.0,,
3410,0.447948420954596,0.447948420954596,0.447948420954596,0.447948420954596,0.447948420954596,fallback,,101.0,1026.0,,
3409,0.4255225089510138,0.4255225089510138,0.4255225089510138,0.4255225089510138,0.4255225089510138,fallback,,32.0,1026.0,,
3408,0.41347681399390995,0.41347681399390995,0.41347681399390995,0.41347681399390995,0.41347681399390995,fallback,,17.0,1026.0,,
3407,0.4316861964180536,0.4316861964180536,0.4316861964180536,0.4316861964180536,0.4316861964180536,fallback,,44.0,1026.0,,
3170,0.41113611986186654,0.41113611986186654,0.41113611986186654,0.41113611986186654,0.41113611986186654,fallback,,15.0,1026.0,,
3405,0.44336724020982327,0.44336724020982327,0.44336724020982327,0.44336724020982327,0.44336724020982327,fallback,,80.0,1026.0,,
3404,0.4341735549126611,0.4341735549126611,0.4341735549126611,0.4341735549126611,0.4341735549126611,fallback,,50.0,1026.0,,
3403,0.46751330122021,0.46751330122021,0.46751330122021,0.46751330122021,0.46751330122021,fallback,,272.0,1026.0,,
3402,0.4899434947989305,0.4899434947989305,0.4899434947989305,0.4899434947989305,0.4899434947989305,fallback,,843.0,1026.0,,
3401,0.46444987540755894,0.46444987540755894,0.46444987540755894,0.46444987540755894,0.46444987540755894,fallback,,233.0,1026.0,,
3400,0.440748598457079,0.440748598457079,0.440748598457079,0.440748598457079,0.440748598457079,fallback,,70.0,1026.0,,
3399,0.4518297782990241,0.4518297782990241,0.4518297782990241,0.4518297782990241,0.4518297782990241,fallback,,123.0,1026.0,,
3398,0.46758596284019927,0.46758596284019927,0.46758596284019927,0.46758596284019927,0.46758596284019927,fallback,,273.0,1026.0,,
3397,0.46384631267726756,0.46384631267726756,0.46384631267726756,0.46384631267726756,0.46384631267726756,fallback,,226.0,1026.0,,
3396,0.4836531114654435,0.4836531114654435,0.4836531114654435,0.4836531114654435,0.4836531114654435,fallback,,614.0,1026.0,,
3406,0.45276883161578924,0.45276883161578924,0.45276883161578924,0.45276883161578924,0.45276883161578924,fallback,,129.0,1026.0,,
3438,0.4383728859354852,0.4383728859354852,0.4383728859354852,0.4383728859354852,0.4383728859354852,fallback,,62.0,1026.0,,
3437,0.4255225089510138,0.4255225089510138,0.4255225089510138,0.4255225089510138,0.4255225089510138,fallback,,32.0,1026.0,,
3436,0.42832615418959685,0.42832615418959685,0.42832615418959685,0.42832615418959685,0.42832615418959685,fallback,,37.0,1026.0,,
